2022-10-27 20:12:18.150 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.impl.UserServiceImplTest], using SpringBootContextLoader
2022-10-27 20:12:18.163 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.impl.UserServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-10-27 20:12:18.164 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.impl.UserServiceImplTest]: UserServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-10-27 20:12:18.430 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.impl.UserServiceImplTest
2022-10-27 20:12:18.588 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-10-27 20:12:18.627 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1f3f02ee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1fde5d22, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5dcb4f5f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@71812481, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16ce702d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b94089b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7ca20101, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@47f9738, org.springframework.test.context.event.EventPublishingTestExecutionListener@6155d082, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@3a5ecce3, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@561868a0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2ea6e30c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6138e79a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2dcd168a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@388526fb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@21a21c64, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7803bfd]
2022-10-27 20:12:19.167 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-10-27 20:12:19.179 [main] INFO  c.w.s.system.service.impl.UserServiceImplTest - Starting UserServiceImplTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 22112 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-10-27 20:12:19.179 [main] DEBUG c.w.s.system.service.impl.UserServiceImplTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-10-27 20:12:19.180 [main] INFO  c.w.s.system.service.impl.UserServiceImplTest - No active profile set, falling back to 1 default profile: "default"
2022-10-27 20:12:22.359 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-27 20:12:22.364 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-10-27 20:12:22.414 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2022-10-27 20:12:25.353 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-10-27 20:12:25.368 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-10-27 20:12:25.369 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-27 20:12:25.369 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-10-27 20:12:25.551 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-27 20:12:25.551 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6328 ms
2022-10-27 20:12:26.085 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-10-27 20:12:26.926 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-27 20:12:30.840 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-10-27 20:12:30.881 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-10-27 20:12:32.275 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@563392e5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52d181ed, org.springframework.security.web.context.SecurityContextPersistenceFilter@548f4f60, org.springframework.security.web.header.HeaderWriterFilter@33563147, org.springframework.security.web.authentication.logout.LogoutFilter@3c5044fa, org.springframework.web.filter.CorsFilter@2c99c8d, com.weiho.scaffold.system.security.token.filter.TokenFilter@43efe064, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45a9cf78, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@30adae45, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66046e7c, org.springframework.security.web.session.SessionManagementFilter@59c00010, org.springframework.security.web.access.ExceptionTranslationFilter@4a094f90, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46d18a33]
2022-10-27 20:12:32.595 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
