2022-11-14 21:58:39.575 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.BuildingServiceTest], using SpringBootContextLoader
2022-11-14 21:58:39.584 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-14 21:58:39.585 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.BuildingServiceTest]: BuildingServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-14 21:58:39.831 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.BuildingServiceTest
2022-11-14 21:58:39.965 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-11-14 21:58:39.997 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42bc14c1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@531f4093, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@62ef27a8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6436a7db, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@460ebd80, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6f3c660a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@74f5ce22, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@25aca718, org.springframework.test.context.event.EventPublishingTestExecutionListener@16fdec90, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@1afdd473, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@40238dd0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7776ab, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@79179359, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@dbd8e44, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@51acdf2e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6a55299e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2f1de2d6]
2022-11-14 21:58:40.474 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-14 21:58:40.481 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - Starting BuildingServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 17168 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-14 21:58:40.482 [main] DEBUG c.w.scaffold.system.service.BuildingServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-14 21:58:40.482 [main] INFO  c.w.scaffold.system.service.BuildingServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-14 21:58:42.425 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
