2022-11-20 14:44:03.303 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.logging.LogServiceTest], using SpringBootContextLoader
2022-11-20 14:44:03.311 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.logging.LogServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-20 14:44:03.534 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-11-20 14:44:03.564 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@63fbfaeb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@602e0143, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2c07545f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e57b96d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@32c726ee, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22f31dec, org.springframework.test.context.transaction.TransactionalTestExecutionListener@34c01041, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@76f4b65, org.springframework.test.context.event.EventPublishingTestExecutionListener@c94fd30, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@36328d33, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2c4d1ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7f0d96f2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@545b995e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@76a2ddf3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@524f3b3a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@41e68d87, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@49ff7d8c]
2022-11-20 14:44:04.007 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-20 14:44:04.030 [main] INFO  com.weiho.scaffold.logging.LogServiceTest - Starting LogServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 11828 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-20 14:44:04.031 [main] DEBUG com.weiho.scaffold.logging.LogServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-20 14:44:04.031 [main] INFO  com.weiho.scaffold.logging.LogServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-20 14:44:06.571 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-20 14:44:06.575 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-20 14:44:06.624 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 0 Redis repository interfaces.
